"2019-07-10 08:39:21 - Starting DefectTrackerApplication on DESKTOP-FBHQCVM with PID 12296 (started by Sajidha in C:\Users\Sajidha\Desktop\git mathu\sgic-internal\sgic-internal-services\defecttracker-service)
""2019-07-10 08:39:21 - No active profile set, falling back to default profiles: default
""2019-07-10 08:39:21 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-07-10 08:39:21 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-07-10 08:39:23 - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-07-10 08:39:23 - Finished Spring Data repository scanning in 134ms. Found 13 repository interfaces.
""2019-07-10 08:39:24 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3cf93535] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-07-10 08:39:24 - Tomcat initialized with port(s): 8081 (http)
""2019-07-10 08:39:24 - Starting service [Tomcat]
""2019-07-10 08:39:24 - Starting Servlet engine: [Apache Tomcat/9.0.16]
""2019-07-10 08:39:24 - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_171\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_171/bin/server;C:/Program Files/Java/jre1.8.0_171/bin;C:/Program Files/Java/jre1.8.0_171/lib/amd64;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jdk1.8.0_171\bin;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\nodejs\;C:\maven\apache-maven-3.6.0\bin;C:\Program Files\Java\jdk1.8.0_171;C:\Program Files\Git\cmd;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\ProgramData\chocolatey\bin;C:\Program Files\Java\jdk1.8.0_211\bin;C:\Users\Sajidha\AppData\Local\Microsoft\WindowsApps;C:\Users\Sajidha\AppData\Roaming\npm;C:\Users\Sajidha\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\Spring;;.]
""2019-07-10 08:39:24 - Initializing Spring embedded WebApplicationContext
""2019-07-10 08:39:24 - Root WebApplicationContext: initialization completed in 3283 ms
""2019-07-10 08:39:25 - HikariPool-1 - Starting...
""2019-07-10 08:39:25 - HikariPool-1 - Start completed.
""2019-07-10 08:39:25 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-07-10 08:39:25 - HHH000412: Hibernate Core {5.3.7.Final}
""2019-07-10 08:39:25 - HHH000206: hibernate.properties not found
""2019-07-10 08:39:25 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
""2019-07-10 08:39:25 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2019-07-10 08:39:25 - HHH000422: Disabling contextual LOB creation as connection was null
""2019-07-10 08:39:27 - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-07-10 08:39:29 - HHH000397: Using ASTQueryTranslatorFactory
""2019-07-10 08:39:31 - Initializing ExecutorService 'applicationTaskExecutor'
""2019-07-10 08:39:31 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-07-10 08:39:32 - LiveReload server is running on port 35729
""2019-07-10 08:39:32 - Tomcat started on port(s): 8081 (http) with context path '/defectservices'
""2019-07-10 08:39:32 - Started DefectTrackerApplication in 11.063 seconds (JVM running for 11.737)
""2019-07-10 08:39:59 - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-07-10 08:39:59 - Initializing Servlet 'dispatcherServlet'
""2019-07-10 08:39:59 - Completed initialization in 19 ms
""2019-07-10 08:39:59 - Module are listed 
